country,region_id,tso_name,tso_url,annual_TWh_anchor,source_note_excerpt,coverage_status,data_format,data_url_or_source,has_hourly,has_annual,rate_source,recommended_action,recommended_tier_landing,priority_score,notes
RWA,rwanda,REG Rwanda Energy Corporation (REG)/EUCL,https://www.reg.rw/,0.05,IRENA Rwanda 2024 (REG/EUCL; methane-from-Lake-Kivu + hydro+solar),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,REG/EUCL publishes some data; Lake Kivu methane is unique. T2 candidate if annual figure from REG report.
SAU,saudi-solar,Saudi Power Procurement Company (SPPC),https://www.sppc.com.sa/,0.1,IRENA Saudi Arabia 2024; existing T1a region,published,JSON-API,https://www.sppc.com.sa/,Y,Y,SPPC transparency data (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
SEN,senegal,SENELEC (Societe Nationale d'Electricite du Senegal),https://www.senelec.sn/,0.3,IRENA Senegal 2024 (SENELEC; Taiba N'Diaye 158 MW wind + PV; OMVS/OMVG member),documented-gap,PDF-only,not-probed,N,Y,IRENA capacity-based estimate,introduce-as-T2,T2,3,SENELEC publishes some data. Senegal wind farm is significant. T2 candidate if annual figure from SENELEC report.
SLE,sierra-leone,Electricity Distribution Authority (EDSA),https://www.edsa.sl/,0.02,IRENA Sierra Leone 2024 (EDSA); hydro+solar+diesel; WAPP,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,WAPP member but no public data. Priority very low.
SGP,singapore,Energy Market Authority (EMA),https://www.ema.gov.sg/,0.1,IRENA Singapore 2024 (EMA); gas+solar+pipeline floating solar),unknown,PDF-only,https://www.ema.gov.sg/,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,Singapore gas+solar; EMA publishes annual reports. T2 candidate if annual figure from EMA report.
SVK,slovakia,SEPS (Slovenska elektrizacna prenosova sustava),https://www.sepsas.sk/,0.1,IRENA Slovakia 2024 (SEPS); solar+wind; SEPS dashboard has generation data but no published curtailment rate; ENTSO-E A75 verification pending,documented-gap,XML-feed,https://dae.sepsas.sk/ (daily generation dashboard - machine readable),partial,Y,IRENA capacity-based estimate + SEPS daily generation dashboard (machine readable!),introduce-as-T2,T2,5,SEPS has daily generation data at dae.sepsas.sk (machine-readable!). Can extract total generation and estimate curtailment. T2 candidate if annual generation figure found. T1a requires live probe of SEPS generation data.
SVN,slovenia,ELES (Elektro Slovenije),https://www.eles.si/,0.05,IRENA Slovenia 2024 (ELES); solar+hydro+wind; ELES publishes generation data but no published curtailment rate; ENTSO-E A75 verification pending,documented-gap,parseable-HTML-table,https://www.eles.si/en (daily generation data available),partial,Y,IRENA capacity-based estimate + ELES daily generation data,introduce-as-T2,T2,4,ELES publishes daily generation data at eles.si. Can extract total generation. T2 candidate if annual figure from ELES report. T1a requires more complex daily data extraction.
SOM,somalia,Somalia Electricity Authority,not-found,0.05,IRENA Somalia 2024; solar+diesel; fragmented grid; conflict,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Conflict zone; no data. Priority very low.
ZAF,south-africa-solar,Eskom,https://www.eskom.co.za/dataportal/renewables-performance/,0.4,IRENA South Africa 2024; existing T1a region,published,CSV,https://www.eskom.co.za/dataportal/renewables-performance/,already-T1a,Y,Y,Eskom Data Portal (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a (solar split). Not in static list.
ZAF,south-africa-wind,Eskom,https://www.eskom.co.za/dataportal/renewables-performance/,0.5,IRENA South Africa 2024; existing T1a region,published,CSV,https://www.eskom.co.za/dataportal/renewables-performance/,already-T1a,Y,Y,Eskom Data Portal (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a (wind split). Not in static list.
LKA,srilanka,Ceylon Electricity Board (CEB),https://www.ceb.lk/,0.1,CEB Sri Lanka 450 MW solar + hydro + wind; IRENA Sri Lanka 2024,documented-gap,PDF-only,https://www.ceb.lk/,N,Y,IRENA capacity-based estimate + CEB annual reports,introduce-as-T2,T2,3,CEB publishes annual reports; Sri Lanka has significant solar+wind curtailment reported. T2 candidate if annual figure from CEB report.
SDN,sudan,National Electricity Corporation (NEC),https://www.nec.gov.sd/,0.2,IRENA Sudan 2024 (NEC); hydro+solar+gas; large grid,unknown,PDF-only,not-probed,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,NEC publishes some data. Sudan has large hydro+gas+solar mix. T2 candidate if annual figure from NEC report.
CHE,switzerland,Swissgrid,https://www.swissgrid.ch,,already T1c,not-applicable,not-applicable,not-applicable,not-applicable,Y,N,not-applicable,leave-existing-T1+,T1c,0,Already T1c. Not in static list.
SYR,syria,Syrian Electricty Company (PEO),not-found,0.1,IRENA Syria 2024 (PEO); solar+oil+diesel; war-affected,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,War-affected; severe data gaps. Priority very low.
TJK,tajikistan,Barki Tojik,https://www.barqi.tj/,0.1,IRENA Tajikistan 2024 (Barki Tojik); hydro+solar; CASA-1000,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,CASA-1000 export to Pakistan being built. Tajikistan hydro-dominant. T2 candidate if annual figure from Barki Tojik.
TZA,tanzania,TANESCO (Tanzania Electric Supply Company),https://www.tanesco.go.tz/,0.5,IRENA Tanzania 2024 + Julius Nyerere HPP commissioning (TANESCO; JNHPP 2.1 GW commissioning 2024-25; gas+hydro),documented-gap,PDF-only,not-probed,N,Y,IRENA capacity-based estimate + TANESCO annual reports,introduce-as-T2,T2,3,JNHPP commissioning 2024-25; TANESCO publishes some annual data. T2 candidate if annual figure from TANESCO report.
THA,thailand,MEA (Metropolitan Electricity Authority) / PEA / EGAT,https://www.mea.or.th/,0.5,IRENA Thailand 2024; existing T1a region,published,parseable-HTML-table,https://www.mea.or.th/en,already-T1a,Y,Y,MEA hourly data (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
TGO,togo,Compagnie Energie Electrique du Togo (CEET),https://www.ceet-togo.tg/,0.05,IRENA Togo 2024 (CEET; imports via WAPP; Blitta PV 50 MW),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,WAPP member; CEET publishes some data. T2 candidate if annual figure from CEET.
TKM,turkmenistan,Turkmenenergo State Corporation,not-found,0.1,IRENA Turkmenistan 2024 (TDS); gas+solar; isolated grid,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Isolated grid; gas-dominant; no public data. Priority very low.
UGA,uganda,Uganda Electricity Regulatory Authority (ERA) / UETCL,https://www.era.go.ug/,0.2,ERA Annual Performance 2024 (UETCL TSO + UEDCL distribution; Karuma+Isimba hydro),unknown,PDF-only,not-probed,N,Y,IRENA capacity-based estimate + ERA annual report,introduce-as-T2,T2,3,ERA/UETCL publishes annual performance reports. Uganda has growing solar. T2 candidate if annual figure from ERA report.
UKR,ukraine,NPC Ukrenergo,https://ua.energy/,1.2,Ember Ukraine 2024 (ENTSO-E Ukrenergo data absent post-war; solar-dominant typical shape at 60/40 solar/wind, peaking ~UTC 09),published,PDF-only,https://ua.energy/,N,Y,Ember Ukraine 2024 estimate (1.2 TWh),leave-existing-T1+,T2,0,Existing T2 region. Ember anchor confirmed.
ARE,UAE,UAE Ministry of Energy and Infrastructure,https://www.moei.gov.ae/,0.1,IRENA UAE 2024; existing T1a region,published,JSON-API,https://www.moe.gov.ae/,already-T1a,Y,Y,UAE Ministry data (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
USA-texas,ercot,ERCOT (Electricity Reliability Council of Texas),https://www.ercot.com/,1.0,IRENA Texas 2024; existing T1a region,published,JSON-API,https://www.ercot.com/,already-T1a,Y,Y,ERCOT API (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
USA-caiso,caiso,CAISO (California ISO),https://www.caiso.com/,1.5,IRENA California 2024; existing T1a region,published,JSON-API,http://www.caiso.com/,already-T1a,Y,Y,CAISO EIA proxy data (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
UZB,uzbekistan,UzbekEnergo (Uzbekistan National Electricity Grid Operator),https://www.uzbekenergy.uz/,0.2,IRENA Uzbekistan 2024 (UzbekEnergo); hydro+solar+gas; solar program,documented-gap,PDF-only,not-probed,N,Y,IRENA capacity-based estimate + UzbekEnergo annual reports,blocked-document-only,T3,2,UzbekEnergo publishes annual reports. Uzbekistan solar program large. T2 candidate if annual figure from UzbekEnergo report.
VEN,venezuela,Corpoelec (Corporacion Electrica Nacional),https://www.corpoelec.gob.ve/,0.5,IRENA Venezuela 2024 (CORPOELEC); hydro ~60 percent + thermal + solar; grid distress,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Grid in severe distress; minimal reliable data. Priority very low.
VNM,vietnam,Vietnam Electricity (EVN),https://www.evn.com.vn/,4.0,IRENA Vietnam 2024 (EVN); solar+coal+hydro; existing T1a region,published,parseable-HTML-table,https://www.evn.com.vn/,already-T1a,Y,Y,EVN NLDC data (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
YEM,yemen,Public Electricity Corporation (PC),https://www.pgec.com.ye/,0.1,IRENA Yemen 2024 (PC); solar+diesel; war-affected small grid,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,War-affected; no data. Priority very low.
ZMB,zambia,ZESCO (Zambia Electricity Supply Corporation),https://www.zesco.co.zm/,0.5,Ember Zambia 2024 + Kariba drought (ZESCO; hydro-dependent Kariba+Kafue; severe 2024-25 drought load-shedding; SAPP member),documented-gap,no-public-data,https://www.zesco.co.zm/,N,Y,Ember Zambia 2024 estimate + ZESCO annual reports,introduce-as-T2,T2,3,ZESCO publishes some data. Kariba drought is well-documented. T2 candidate if annual figure from ZESCO report or Ember.
ZWE,zimbabwe,ZPC (Zimbabwe Power Company) / ZETDC,https://www.zpc.co.zw/,0.3,Ember Zimbabwe 2024 + Kariba South (ZPC generation, ZETDC T+D; Kariba South hydro+coal; SAPP member),documented-gap,no-public-data,https://www.zpc.co.zw/,N,Y,Ember Zimbabwe 2024 estimate + ZPC annual reports,introduce-as-T2,T2,3,ZPC publishes some data. Kariba South commissioned recently. T2 candidate if annual figure from ZPC report or Ember.
